1373  #SUP: 25 #UTIL: 25560
1373 391 497 836 1152 740 331 507  #SUP: 1 #UTIL: 6620
1373 281 924 1223 1084 1344 1128  #SUP: 1 #UTIL: 5561
1373 1423 863 1080 1073 431 1523  #SUP: 1 #UTIL: 5608
1373 408  #SUP: 2 #UTIL: 2760
1373 408 1007 824 1284 1084 1477  #SUP: 1 #UTIL: 5215
1373 408 1190 797 607 1396 720  #SUP: 1 #UTIL: 3700
1373 1444 1357 502 834 358  #SUP: 1 #UTIL: 5640
1373 891 913  #SUP: 1 #UTIL: 2108
1373 813 530 486 1402  #SUP: 1 #UTIL: 3646
1373 631  #SUP: 1 #UTIL: 1236
1373 903 890 1152 1069  #SUP: 1 #UTIL: 4202
1373 191 1417 730 287 437 141  #SUP: 1 #UTIL: 5237
1373 1556 1512 1213 431 75 990 1090  #SUP: 1 #UTIL: 5071
1373 823 1006 1063 407 1283 670  #SUP: 1 #UTIL: 5441
1373 321 1077 617 1096 773 1342 620 481 327 594 664  #SUP: 1 #UTIL: 8380
1373 863  #SUP: 2 #UTIL: 3886
1373 863 1402  #SUP: 1 #UTIL: 2650
1373 1113 1296 104 171  #SUP: 1 #UTIL: 2001
1373 1512  #SUP: 2 #UTIL: 3006
1373 1512 1306 104 1096 264  #SUP: 1 #UTIL: 5896
1373 1511 1174 1328 385 319  #SUP: 1 #UTIL: 3498
1373 774 1350 1529 697 171 1167  #SUP: 1 #UTIL: 4424
1373 1402  #SUP: 2 #UTIL: 3613
1373 104  #SUP: 2 #UTIL: 4134
1373 1096  #SUP: 2 #UTIL: 4056
1373 834  #SUP: 2 #UTIL: 3704
1373 834 930 484 457 424 601  #SUP: 1 #UTIL: 5249
1373 1152  #SUP: 2 #UTIL: 4624
1373 1101 185 98  #SUP: 1 #UTIL: 2888
1373 431  #SUP: 2 #UTIL: 2832
1373 115 837 737 148  #SUP: 1 #UTIL: 3168
1373 1084  #SUP: 2 #UTIL: 2622
1373 1246 1230  #SUP: 1 #UTIL: 2287
1373 158  #SUP: 1 #UTIL: 1194
1373 171  #SUP: 2 #UTIL: 2555
1292  #SUP: 23 #UTIL: 24642
1292 470 1419 117 466 976 233 637  #SUP: 1 #UTIL: 6050
1292 580 377 797 537  #SUP: 1 #UTIL: 4137
1292 1338 283 1138 350 1475  #SUP: 1 #UTIL: 5208
1292 1508 446 1538 1088 1438 1388  #SUP: 1 #UTIL: 6760
1292 67 104 726 17 576 1019  #SUP: 1 #UTIL: 7301
1292 963 1444 847 1196  #SUP: 1 #UTIL: 5876
1292 520 753 421 1363 976 277  #SUP: 1 #UTIL: 5598
1292 489 1431 1132 1336 1481 1552 23  #SUP: 1 #UTIL: 6769
1292 200 1205 350 1342 96  #SUP: 1 #UTIL: 4814
1292 922 650 207 1255  #SUP: 1 #UTIL: 3442
1292 925 742 1002 996 1358 460  #SUP: 1 #UTIL: 4372
1292 1362 277 420  #SUP: 1 #UTIL: 3396
1292 832 416 1485 1381 1015  #SUP: 1 #UTIL: 4174
1292 1136 930 1288 1492 460  #SUP: 1 #UTIL: 4057
1292 727 1039 17 926 1509 157  #SUP: 1 #UTIL: 4195
1292 1208 1098 616  #SUP: 1 #UTIL: 2969
1292 377  #SUP: 2 #UTIL: 3381
1292 377 849  #SUP: 1 #UTIL: 1914
1292 604 1192 1319 570  #SUP: 1 #UTIL: 3467
1292 154 1063 1495  #SUP: 1 #UTIL: 3267
1292 17  #SUP: 2 #UTIL: 4023
1292 350  #SUP: 2 #UTIL: 3309
1292 976  #SUP: 2 #UTIL: 3033
1292 437 504 1492 616 71 1446  #SUP: 1 #UTIL: 4214
1292 277  #SUP: 2 #UTIL: 4018
1292 1492  #SUP: 2 #UTIL: 2424
1292 616  #SUP: 2 #UTIL: 2663
1292 1369  #SUP: 1 #UTIL: 1342
1292 955  #SUP: 1 #UTIL: 2148
1292 460  #SUP: 2 #UTIL: 3125
1292 582  #SUP: 1 #UTIL: 1759
225  #SUP: 19 #UTIL: 22951
225 1161 80 352 868 862 325 1194  #SUP: 1 #UTIL: 7720
225 391 221 730 1429 1546 1046  #SUP: 1 #UTIL: 4293
225 175 518 501 641 790  #SUP: 1 #UTIL: 4847
225 387 1180 271 824 980 204 148  #SUP: 1 #UTIL: 7370
225 614  #SUP: 2 #UTIL: 5380
225 614 1007 1213 537 424  #SUP: 1 #UTIL: 5035
225 614 454 874 591 658 1074  #SUP: 1 #UTIL: 6488
225 1340 868 498 781  #SUP: 1 #UTIL: 4999
225 924  #SUP: 2 #UTIL: 4073
225 924 863 541 1040 1273  #SUP: 1 #UTIL: 4841
225 924 701 369 468 1240 1311  #SUP: 1 #UTIL: 5366
225 1001 231 102 558 524 2  #SUP: 1 #UTIL: 3263
225 724 1407 714 331 1151 335  #SUP: 1 #UTIL: 5815
225 445 1128  #SUP: 1 #UTIL: 3334
225 1456 275 934 1500 364 814 784  #SUP: 1 #UTIL: 5536
225 878 1473 1267 874 1256  #SUP: 1 #UTIL: 3402
225 868  #SUP: 2 #UTIL: 4839
225 881 825 488 1101 1191 642  #SUP: 1 #UTIL: 6287
225 252 648 1124 681 126 348  #SUP: 1 #UTIL: 5596
225 785 515 242 1457  #SUP: 1 #UTIL: 5214
225 934 1500 814  #SUP: 2 #UTIL: 5613
225 934 1500 814 1457  #SUP: 1 #UTIL: 3259
225 541  #SUP: 2 #UTIL: 3449
225 874  #SUP: 2 #UTIL: 3517
225 1457  #SUP: 2 #UTIL: 3949
69  #SUP: 18 #UTIL: 16430
69 272 489  #SUP: 1 #UTIL: 2366
69 1521 408 153 885 279 652 1461  #SUP: 1 #UTIL: 4844
69 988 812 1544 739 1115  #SUP: 1 #UTIL: 5415
69 1464 312 1554 944 861 1215  #SUP: 1 #UTIL: 5340
69 1423 408 1107 884 152 651 1460  #SUP: 1 #UTIL: 5874
69 408  #SUP: 2 #UTIL: 2870
69 639 951 1028 839 290 1421 47  #SUP: 1 #UTIL: 5686
69 448 884 458 65  #SUP: 1 #UTIL: 5084
69 1224 435 1290 595 1427 286  #SUP: 1 #UTIL: 4637
