39476  #SUP: 1 #UTIL: 39
18614 10857  #SUP: 1 #UTIL: 70
4396  #SUP: 1 #UTIL: 85
33486  #SUP: 1 #UTIL: 89
42508  #SUP: 1 #UTIL: 89
2998  #SUP: 1 #UTIL: 100
32768  #SUP: 1 #UTIL: 129
38377  #SUP: 1 #UTIL: 129
38503  #SUP: 1 #UTIL: 139
4300  #SUP: 1 #UTIL: 149
10886  #SUP: 1 #UTIL: 149
19394  #SUP: 1 #UTIL: 149
40215  #SUP: 1 #UTIL: 150
24897  #SUP: 1 #UTIL: 179
35101  #SUP: 1 #UTIL: 179
19124 8329  #SUP: 1 #UTIL: 184
33437  #SUP: 1 #UTIL: 189
39244 39224 39684  #SUP: 1 #UTIL: 197
23418  #SUP: 1 #UTIL: 199
38529  #SUP: 1 #UTIL: 199
42321  #SUP: 1 #UTIL: 199
43051  #SUP: 1 #UTIL: 199
42721  #SUP: 1 #UTIL: 200
1099  #SUP: 1 #UTIL: 219
25721  #SUP: 1 #UTIL: 219
42452 9426 5644  #SUP: 1 #UTIL: 223
42492 28529  #SUP: 1 #UTIL: 228
5976  #SUP: 1 #UTIL: 229
5980  #SUP: 1 #UTIL: 229
5994  #SUP: 1 #UTIL: 229
5996  #SUP: 1 #UTIL: 229
21769  #SUP: 1 #UTIL: 229
43777 8640 8656  #SUP: 1 #UTIL: 234
45971 18616  #SUP: 1 #UTIL: 235
5766  #SUP: 1 #UTIL: 239
7421  #SUP: 1 #UTIL: 239
39307 44006  #SUP: 1 #UTIL: 246
34324 4378  #SUP: 1 #UTIL: 248
4525  #SUP: 1 #UTIL: 249
19130 421  #SUP: 1 #UTIL: 249
23437  #SUP: 1 #UTIL: 249
28671  #SUP: 1 #UTIL: 249
30709  #SUP: 1 #UTIL: 250
13762 1777 1775  #SUP: 1 #UTIL: 257
1722  #SUP: 1 #UTIL: 258
33484 33501  #SUP: 1 #UTIL: 258
11571  #SUP: 1 #UTIL: 259
11573  #SUP: 1 #UTIL: 259
44038 21324 43993  #SUP: 1 #UTIL: 267
13908 39191  #SUP: 1 #UTIL: 274
36065 39189  #SUP: 1 #UTIL: 277
21040 16884  #SUP: 1 #UTIL: 278
10194  #SUP: 1 #UTIL: 279
36117  #SUP: 1 #UTIL: 279
6381 39190 12460 39189  #SUP: 1 #UTIL: 285
42515 30522 12213  #SUP: 1 #UTIL: 287
26523 26524  #SUP: 1 #UTIL: 288
33145 33155 33149  #SUP: 1 #UTIL: 293
3456 31043 23317  #SUP: 1 #UTIL: 297
42477 42524  #SUP: 1 #UTIL: 298
42925 42924  #SUP: 1 #UTIL: 298
45996 39289  #SUP: 1 #UTIL: 298
1377  #SUP: 1 #UTIL: 299
5979  #SUP: 1 #UTIL: 299
5981  #SUP: 1 #UTIL: 299
11666  #SUP: 1 #UTIL: 299
15909  #SUP: 1 #UTIL: 299
23446  #SUP: 1 #UTIL: 299
23955  #SUP: 1 #UTIL: 299
29045  #SUP: 1 #UTIL: 299
36269  #SUP: 1 #UTIL: 299
45588  #SUP: 1 #UTIL: 299
28949 13914  #SUP: 1 #UTIL: 300
44310  #SUP: 1 #UTIL: 300
12784  #SUP: 2 #UTIL: 100
12784 8804  #SUP: 1 #UTIL: 149
12784 22896  #SUP: 1 #UTIL: 159
18612  #SUP: 2 #UTIL: 70
18612 12399 10851  #SUP: 1 #UTIL: 90
18612 44327  #SUP: 1 #UTIL: 219
19278 5451  #SUP: 1 #UTIL: 309
27564  #SUP: 1 #UTIL: 315
22270 11933  #SUP: 1 #UTIL: 318
26924  #SUP: 1 #UTIL: 318
14799  #SUP: 1 #UTIL: 319
12477 38519 8272  #SUP: 1 #UTIL: 321
15117 7053  #SUP: 1 #UTIL: 328
17491 17487 17481 39433  #SUP: 1 #UTIL: 329
22591 20460  #SUP: 1 #UTIL: 329
24975 13871  #SUP: 1 #UTIL: 329
37524  #SUP: 1 #UTIL: 329
44604 27376  #SUP: 1 #UTIL: 329
36390 39839  #SUP: 1 #UTIL: 338
43017 42521  #SUP: 1 #UTIL: 338
5837  #SUP: 1 #UTIL: 339
5849  #SUP: 1 #UTIL: 339
23515 38243  #SUP: 1 #UTIL: 348
32225 9486  #SUP: 1 #UTIL: 348
6247 40606  #SUP: 1 #UTIL: 349
17505  #SUP: 1 #UTIL: 349
28229 43369 43902 3754  #SUP: 1 #UTIL: 353
1140 1141 21375  #SUP: 1 #UTIL: 356
2390 39282  #SUP: 1 #UTIL: 357
22650 41741 22643  #SUP: 1 #UTIL: 357
4167 523  #SUP: 1 #UTIL: 358
29069 16864  #SUP: 1 #UTIL: 358
15045  #SUP: 1 #UTIL: 359
26984  #SUP: 1 #UTIL: 359
34033  #SUP: 1 #UTIL: 359
39548 20503 12239 39305  #SUP: 1 #UTIL: 363
17266 3230 13743  #SUP: 1 #UTIL: 367
4637 4384  #SUP: 1 #UTIL: 368
34331 32114  #SUP: 1 #UTIL: 368
27695 16129  #SUP: 1 #UTIL: 369
29580 7221 39684  #SUP: 1 #UTIL: 369
35597 39684  #SUP: 1 #UTIL: 369
26488 27399  #SUP: 1 #UTIL: 378
39832 32337  #SUP: 1 #UTIL: 378
5812  #SUP: 1 #UTIL: 379
5819  #SUP: 1 #UTIL: 379
5842  #SUP: 1 #UTIL: 379
12020  #SUP: 1 #UTIL: 379
12124  #SUP: 1 #UTIL: 379
39784 18616 14313  #SUP: 1 #UTIL: 379
6281 6172 6157 22896  #SUP: 1 #UTIL: 380
18665 42003 42512  #SUP: 1 #UTIL: 387
26594 12304  #SUP: 1 #UTIL: 388
34240  #SUP: 1 #UTIL: 389
42706 9421  #SUP: 1 #UTIL: 394
174  #SUP: 1 #UTIL: 395
25339  #SUP: 1 #UTIL: 395
29388  #SUP: 1 #UTIL: 395
30328  #SUP: 1 #UTIL: 396
4496 16913 7229  #SUP: 1 #UTIL: 397
538  #SUP: 1 #UTIL: 399
1655  #SUP: 1 #UTIL: 399
1958  #SUP: 1 #UTIL: 399
